O_ID,D_ID,OD_Number
10000005,10000117,7
10000005,10000118,3
10000005,10000119,1
10000005,10000120,2
10000005,10000121,2
10000005,10000122,6
10000005,10000123,3
10000005,10000125,2
10000005,10000126,10
10000005,10000127,3
10000005,10000128,1
10000005,10000129,5
10000005,10000130,9
10000005,10000131,9
10000005,10000134,4
10000005,10000135,4
10000005,10000139,11
10000005,10000140,26
10000005,10000141,8
10000005,10000143,11
10000005,10000144,120
10000005,10000145,7
10000005,10000146,2
10000005,10000147,1
10000005,10000151,71
10000005,10000152,2
10000005,10000153,3
10000005,10000154,66
10000005,10000155,5
10000005,10000156,2
10000005,10000157,5
10000005,10000158,18
10000005,10000159,1
10000005,10000161,23
10000005,10000162,2
10000005,10000163,1
10000005,10000165,4
10000005,10000166,3
10000005,10000168,4
10000005,10000169,12
10000005,10000170,2
10000005,10000172,2
10000005,10000174,1
10000005,10000175,1
10000005,10000178,10
10000005,10000179,4
10000005,10000180,13
10000005,10000181,4
10000005,10000182,3
10000005,10000184,1
10000005,10000185,8
10000005,10000187,4
10000005,10000188,1
10000005,10000190,2
10000005,10000191,2
10000005,10000192,3
10000005,10000193,3
10000006,10000000,2
10000006,10000005,2
10000006,10000006,9
10000006,10000007,2
10000006,10000008,6
10000006,10000011,28
10000006,10000014,1
10000006,10000016,2
10000006,10000018,4
10000006,10000020,12
10000006,10000022,3
10000006,10000023,1
10000006,10000024,2
10000006,10000025,2
10000006,10000028,3
10000006,10000030,1
10000006,10000031,8
10000006,10000032,1
10000006,10000033,6
10000006,10000034,3
10000006,10000035,5
10000006,10000042,1
10000006,10000046,1
10000006,10000048,16
10000006,10000050,6
10000006,10000051,8
10000006,10000052,1
10000006,10000054,10
10000006,10000057,1
10000006,10000059,2
10000006,10000062,2
10000006,10000063,6
10000006,10000067,1
10000006,10000068,1
10000006,10000071,1
10000006,10000072,4
10000006,10000074,2
10000006,10000076,4
10000006,10000077,7
10000006,10000078,6
10000006,10000079,56
10000006,10000080,12
10000006,10000081,2
10000006,10000082,2
10000006,10000083,1
10000006,10000086,1
10000006,10000088,1
10000006,10000093,8
10000006,10000096,7
10000006,10000097,1
10000006,10000099,1
10000006,10000100,2
10000006,10000101,7
10000006,10000102,1
10000006,10000108,1
10000006,10000110,5
10000006,10000112,2
10000006,10000113,1
10000006,10000114,3
10000006,10000115,1
10000006,10000116,1
10000006,10000117,1
10000006,10000118,1
10000006,10000119,2
10000006,10000123,1
10000006,10000125,1
10000006,10000126,5
10000006,10000127,4
10000006,10000128,1
10000006,10000129,9
10000006,10000130,2
10000006,10000131,3
10000006,10000134,1
10000006,10000136,3
10000006,10000137,1
10000006,10000139,4
10000006,10000140,10
10000006,10000141,2
10000006,10000143,7
10000006,10000144,54
10000006,10000145,3
10000006,10000146,1
10000006,10000147,4
10000006,10000148,1
10000006,10000150,1
10000006,10000151,33
10000006,10000152,3
10000006,10000154,40
10000006,10000155,4
10000006,10000157,5
10000006,10000158,22
10000006,10000161,5
10000006,10000163,7
10000006,10000169,4
10000006,10000170,2
10000006,10000172,1
10000006,10000175,1
10000006,10000176,1
10000006,10000178,3
10000006,10000181,2
10000006,10000185,4
10000006,10000189,1
10000006,10000191,1
10000006,10000192,1
10000007,10000000,1
10000007,10000003,8
10000007,10000006,8
10000007,10000007,125
10000007,10000008,12
10000007,10000009,1
10000007,10000010,4
10000007,10000011,29
10000007,10000012,1
10000007,10000013,7
10000007,10000014,8
10000007,10000015,1
10000007,10000016,4
10000007,10000017,1
10000007,10000018,5
10000007,10000020,9
10000007,10000021,17
10000007,10000022,5
10000007,10000023,1
10000007,10000024,15
10000007,10000026,11
10000007,10000027,11
10000007,10000028,8
10000007,10000029,9
10000007,10000030,5
10000007,10000031,11
10000007,10000032,7
10000007,10000033,18
10000007,10000034,4
10000007,10000035,3
10000007,10000037,5
10000007,10000041,2
10000007,10000042,2
10000007,10000043,4
